iter	RMSE
0	519951.697411	505724.331522	493618.995833	483266.303544	474397.141455	467029.9366	6	460560.607	47	454688.418	48	449698.299	49	445525.381010	441660.5701111	437887.2411212	434784.3421313	432032.6651414	428990.5031515	426468.2231616	424448.8731717	422492.8271818	420753.7281919	418947.4520	20	417306.1321	21	415686.012222	414298.9972323	413130.1752424	411725.5302525	410555.67
26	409522.5629227	406749.8722
28	405922.4458
29	404976.9623
30	404202.6847
31	403631.174
32	402699.487
33	402116.0099
34	401121.117
35	400612.1007
36	400074.0938
37	399473.7238
38	398363.848
39	397898.9949
40	397308.2621
41	396881.4831
42	396310.0333
43	395928.6979
44	395529.7585
45	395197.3772
46	394598.6135
47	394242.843
48	393826.4541
49	393359.2155
50	392927.8095
51	392574.3381
52	392221.4758
53	392038.0869
54	391152.9556
55	390930.486
56	390546.0881
57	389980.4545
58	389627.6575
59	389437.8798
60	388764.6396
61	388526.756
62	388302.3084
63	388030.6941
64	387702.1553
65	387502.2842
66	387263.0383
67	387043.8013
68	386854.034
69	386408.3179
70	386137.8751
71	385812.7199
72	385505.1015
73	385351.9725
74	385046.6556
75	384873.9208
76	384698.2837
77	384618.2515
78	384194.1132
79	384076.0131880	383981.585
81	383869.2082
82	383667.6509
83	383509.5386
84	383231.3268
85	383050.4913
86	382819.0711
87	382712.7438
88	382468.4288989	382347.6989
90	382156.5229191	382088.6899292	381949.8059393	381704.4679494	381595.681
95	381249.9828
96	381133.8558
97	380989.4984
98	380760.3561
99	380637.3183
100	380465.81
101	380155.6328
102	380050.6196
103	379947.5698
104	379762.3592
105	379590.1278
106	379147.4005
107	378910.2217
108	378668.8785
109	378583.2448
110	378373.6316
111	378067.1566
112	378013.7148
113	377876.4801
114	377776.1179
115	377615.5279
116	377520.3523
117	377358.5717
118	377298.4845
119	377096.8946
120	376956.7158
121	376900.4316
122	376744.2797
123	376606.6396
124	376483.5433
125	376175.9077
126	376000.957
127	375815.2359
128	375649.0196
129	375465.0367
130	375342.7725
131	375221.118
132	375109.534
133	374986.7453
134	374883.6053
135	374756.3593
136	374663.8375
137	374535.028
138	374341.865
139	374285.2598
140	374083.4505
141	373932.2468
142	373839.3787
143	373688.942
144	373501.1315
145	373387.3452
146	373289.597
147	373212.3531
148	373064.2575
149	372953.8448
150	372847.11
151	372755.9869
152	372645.4477
153	372587.7221
154	372485.6241
155	372108.4899
156	372017.2249
157	371946.1959
158	371850.0092
159	371756.5144
160	371632.5421
161	371553.3057
162	371346.6018
163	371205.6602
164	371056.7662
165	370942.5065
166	370816.7433
167	370697.8888
168	370583.2881
169	370500.9062
170	370415.4229
171	370320.9828
172	370213.7319
173	370128.0945
174	370052.9865
175	369956.8486
176	369867.0602
177	369781.0114
178	369691.2028
179	369624.7665
180	369508.2975
181	369400.6176
182	369287.559
183	369177.8838
184	369108.9976
185	369039.824
186	368969.111
187	368621.0241
188	368498.2918
189	368410.976
190	368292.8026
191	368200.2743
192	368141.6154
193	368071.1067
194	368017.9046
195	367958.221
196	367865.2426
197	367790.7703
198	367743.2152
199	367686.7995
200	367643.3428
201	367577.5739
202	367497.2742
203	367382.0268
204	367295.5185
205	367243.9702
206	367057.074
207	366859.6875
208	366769.8024
209	366690.524
210	366629.3757
211	366530.6227
212	366190.7499
213	366104.8144
214	366043.1513
215	365979.2693
216	365934.7744
217	365865.795
218	365766.2516
219	365725.4149
220	365681.8323
221	365600.9648
222	365538.9214
223	365475.8384
224	365224	37699225	36225	376872226	365303.2432
227	364992.7138
228	364920.7717
229	364882.1974
230	36230	376552231	364745.6998
232	364700.9154
233	364413.5276
234	36234	376370235	36235	376329236	36236	376267237	36237	376209238	36238	376155239	36239	376067240	3240	376030.241	363756.205
242	363669.8044
243	363633.1923
244	363571.3837
245	363521.3265
246	3246	375688.247	3247	375572.248	3248	375545.249	3249	375485.250	3250	375443.251	3251	375402252	36252	375356253	36253	375322254	36254	375289255	36255	375244256	36256	375130257	36257	375099258	36258	375046259	36259	375022260	36260	374984261	36261	374938262	36262	374899263	36263	374791264	36264	374712265	36265	37462266	362266	37454267	362267	37449268	362268	3744269	3619269	3744270	3619270	3743271	3618271	3743272	3618272	3742273	3615273	3742274	3613274	3741275	3612275	3741276	3612276	3740277	3612277	3739278	3611278	3739279	3611279	3738280	3610280	3738281	3609281	3738282	3609282	3737283	3608283	373730.1633
284	373668.0534
285	373613.3463
286	3287	360698.287	3288	360576.288	3289	360536.289	3290	360515.290	3291	360432.291	3292	360358.292	3293	360285.293	294	360232.5294	295	360188.295	372731.2696
296	372700.0604
297	3298	360023.298	3299	359985299	37300	359737300	37301	359701301	37302	359596302	37303	359499303	37304	359456304	37305	359426305	37306	359355306	37307	359312307	308	359281.3308	309	359248.309	3310	359205.310	3311	359124.311	3312	359087.312	3313	359041.313	3314	359002.314	3315	358971.117
316	358920.7422
317	358877.5426
318	358788.135
319	358755.4544
320	358704.5236
321	358633.3272
322	358611.6694
323	358569.7592
324	358515.618
325	358467.8739
326	358441.1076
327	358373.9763
328	358276.3701
329	358235.3084
330	358062.7404
331	358002.4692
332	357955.5145
333	357917.5314
334	357884.3723
335	357843.1704
336	357818.7661
337	357792.155
338	357774.8913
339	357559.7593
340	357522.539
341	357488.8166
342	357467.7761
343	357426.3291
344	357389.1436
345	357334.0162
346	357291.2616
347	357264.3256
348	357219.4723
349	357197.8596
350	357172.5937
351	357118.1351	352	357042.0076
353	356996.6037
354	356962.4336
355	356916.8392
356	356867.3356	357	356826.6357	358	356803.8358	359	356729.6359	360	356684.2360	361	356653.5361	362	356602.4362	363	356571.3363	364	356535.1364	365	356505.2365	366	356448.7366	367	356418.5367	368803.072
368	3369	35369	3369	3370	356267.370	3371	356240.371	3372	356107.372	373	355895.5373	374	355869.374	3375	355830.375	376	355796.8376	377	355767.0377	378	355664.378	3379	355639.379	3380	355484.380	3381	355446381	36382	355391382	36383	355353383	36384	355208384	36385	355144385	36386	355098386	36387	355060387	368004.0381
388	36389	354845389	36390	354720390	367889.013
391	367392	35462392	367393	35459393	367394	35450394	367395	35447395	367396	35445396	367397	35441397	367398	3543398	3676399	3542399	3675400	3541400	3675401	3541401	3675402	3541402	3675403	3540403	3674404	3540404	3674405	3540405	3674406	3540406	367407	35396407	367408	35391408	36409	353877409	36410	353844410	36411	353823411	36412	353792.7403
413	353780.1466
414	353760.112
415	353726.9451
416	353685.2375
417	353638417	36418	353610418	3419	353586.419	3420	353496.420	3421	353467.421	3422	353444.422	3423	353402.423	3424	353368.424	3425	353336.425	3426	353307.426	3427	353272.427	3428	353205.428	3429	353159.429	3430	353135.430	3431	353103.431	3432	353075.432	3433	353027.433	434	352980.1434	435	352940.5435	436	352893.2436	437	352848.7437	438	352693.6438	439	352667.1439	440	352640.440	3441	352603.441	442	352572.442	3443	352546.443	3444	352397444	36445	352350.6335
446	35230446	365447	35228447	365448	352247.9676
449	352198.8843
450	352184.707
451	352151.4412
452	352109.7365
453	352089.6632
454	352041.2633
455	352015.3021
456	351978.2978
457	351950.6099
458	351923.4923
459	351913.032
460	351881.7109
461	351735.2658
462	351669.5729
463	351637.7194
464	351612.3796
465	351597.837
466	351583.5877
467	35153467	364468	35150468	364469	351480.0164
470	35144470	364471	35142471	364472	351373.1788
473	351350.9147
474	35129474	364475	35125475	364476	35124476	364477	3511477	364478	351478	36409479	351030.5275
480	350996.9284
481	350968.4467
482	350947.8357
483	350924.046
484	3508484	3638485	350883.9264
486	350858.8398
487	3508487	3637488	3508488	3637489	3507489	3636490	3507490	3636491	350691.6292
492	3506492	3634493	3506493	3634494	3506494	3634495	3505495	3633496	3505496	363497	35052497	363498	350497.2488
499	35048499	36500	350452500	36501	350418501	36502	350402502	36503	350380503	36504	350337504	36505	350295505	36506	350277506	36507	350251507	36508	350229508	3509	350201.509	3510	350170.510	3511	350122.511	3512	350001.512	3513	349975.513	3514	349953.514	3515	349929.515	3516	349889.516517	349861.67517518	349819.94518519	349727.14519520	349695.05520521	349670.16521522	349651.67522523	349626.3523524	349572.85524525	349547.43525526	349519.71526527	349505.86527528	349389.09528529	349372.529	3530	349349.530	3531	349338.531	532	349306.5532	533	349291.6533	534	349271.3534	361936.2806
535	361921.1578
536	361906.1425
537	538	349176.9538	539	349142.1539	540	349127.2540	361806.6234
541	361780.6887
542	543	348975.4543	544	348952.6544	361681.8687
545	361666.4146
546	361636.2911
547548	348839.6548	361586.7772
549	550	348783.6550	551	348764.1551	552	348714.4552	553	348692.9553	554	348684.0554	361372.9609
555	361359.0471
556	361329.081
557	361309.1337
558	361274.585
559	361243.9722
560	561	348544.561562	348527.28562563	348500.98563564	348476.96564565	348453.27565566	348428.7078
567	348389.0447
568	348349.5796
569	348341.8125
570	348298.3238
571	348276.9567
572	348258.9034
573	348238.5987
574	348224.1522
575	348209.7516
576	348186.0722
577	348142.617
578	348094.172
579	348064.3851
580	348038.5764
581	348021.8261
582	347994.4172
583	347954.2948
584	347930.314
585	347906.7357
586	347879.8824
587	347865.3436
588	347841.7593
589	347824.3487
590	347811.1974
591	347782.5671
592	347760.133
593	347682.3738
594	347606.7225
595	347589.8867
596	347538.7015
597	347509.0609
598	347482.8391
599	347455.7559
600	347422.3674
601	347395.0536
602	347370.3925
603	347348.0032
604	347314.3957
605	347296.3999
606	347280.2141
607	347255.3014
608	347233.6967
609	347223.218
610	347206.974
611	347190.4645
612	347176.3077
613	347161.1679
614	347138.008
615	347105.6077
616	347092.132
617	347080.8865
618	347070.3803
619	347025.8423
620	346991.207
621	346974.6829
622	346963.3889
623	346934.5551
624	346896.2225
625	346870.7328
626	346813.6646
627	346776.7456
628	346746.2999
629	346722.845
630	346706.1667
631	346695.9719
632	346661.107
633	346645.847
634	346628.1972
635	346611.0803
636	346590.362
637	346570.9986
638	346553.0246
639	346529.2527
640	346511.5122
641	346492.9159
642	346474.9008
643	346449.2489
644	346432.4583
645	346400.1678
646	346371.3758
647	346359.8557
648	346328.1566
649	346305.3126
650	346284.0546
651	346263.8863
652	346257.3178
653	346226.5402
654	346185.0573
655	346159.5016
656	346152.2687
657	346137.3754
658	346110.4695
659	346095.8821
660	346076.4393
661	346054.6065
662	346036.4506
663	346001.9829
664	345986.3283
665	345976.1419
666	345943.0247
667	345931.1066
668	345913.9773
669	345890.0868
670	345866.8907
671	345854.3644
672	345833.5886
673	345819.6622
674	345714.4496
675	345695.6619
676	345683.9174
677	345657.7375
678	345612.75
679	345581.5049
680	345561.4344
681	345543.1106
682	345520.8378
683	345498.5534
684	345483.8071
685	345471.6116
686	345456.4657
687	345447.558
688	345381.2669
689	345348.1468
690	345326.8532
691	345309.9105
692	345275.7275
693	345255.8545
694	345229.4632
695	345210.3247
696	345180.065
697	345169.851
698	345141.9733
699	345125.3529
700	345108.3613
701	345074.9255
702	344960.1266
703	344939.6871
704	344910.3835
705	344901.47
706	344883.1924
707	344859.3039
708	344836.5731
709	344820.188
710	344808.6938
711	344784.9918
712	344774.9188
713	344762.04
714	344746.4283
715	344734.8902
716	344707.791
717	344690.4853
718	344675.8167
719	344668.1491
720	344652.9462
721	344617.9432
722	344610.6934
723	344596.5597
724	344575.6772
725	344551.9335
726	344509.1051
727	344422.8466
728	344337.2022
729	344311.9282
730	344302.3825
731	344276.8982
732	344263.3653
733	344247.2812
734	344224.964
735	344215.6487
736	344182.711
737	344174.7724
738	344112.4727
739	344091.9741
740	344069.807
741	344055.9395
742	344040.8778
743	343989.7373
744	343908.5567
745	343885.9024
746	343871.7925
747	343853.6396
748	343836.7556
749	343829.288
750	343814.361
751	343804.9532
752	343741.7673
753	343733.4639
754	343710.7403
755	343696.9803
756	343657.6488
757	343638.9633
758	343621.1106
759	343597.0041
760	343578.9467
761	343541.2069
762	343531.4815
763	343502.2303
764	343471.4678
765	343447.8181
766	343429.2604
767	343401.3088
768	343377.5894
769	343363.5271
770	343339.3353
771	343328.2565
772	343301.3482
773	343287.9507
774	343271.5426
775	343254.4657
776	343243.4274
777	343229.4946
778	343217.8514
779	343204.5074
780	343174.7088
781	343145.2498
782	343125.3071
783	343015.9717
784	342998.7647
785	342987.3876
786	342970.5322
787	342961.3391
788	342941.3697
789	342926.0466
790	342916.9541
791	342902.1182
792	342891.4794
793	342883.4178
794	342871.7965
795	342750.6036
796	342740.8893
797	342734.5064
798	342728.5878
799	342680.4067
800	342664.3959
801	342651.3726
802	342643.1312
803	342619.7716
804	342609.8597
805	342560.4654
806	342543.866
807	342531.4022
808	342518.6666
809	342497.9687
810	342476.3076
811	342470.9591
812	342445.6514
813	342433.8973
814	342422.169
815	342405.0404
816	342374.0663
817	342359.8984
818	342314.9781
819	342305.6044
820	342294.106
821	342280.2547
822	342254.5975
823	342232.7002
824	342220.6331
825	342198.9964
826	342149.8189
827	342115.3471
828	342089.8079
829	342080.457
830	342010.6839
831	342001.3231
832	341930.4337
833	341915.2041
834	341903.6416
835	341893.8413
836	341880.618
837	341852.0859
838	341838.022
839	341767.6866
840	341761.4033
841	341744.1126
842	341727.2552
843	341702.3151
844	341681.822
845	341668.927
846	341644.9755
847	341637.6094
848	341622.5683
849	341615.3457
850	341608.4024
851	341579.7697
852	341559.578
853	341535.045
854	341503.8229
855	341495.4359
856	341476.6409
857	341464.712
858	341440.3624
859	341415.2722
860	341370.9221
861	341339.9903
862	341331.9981
863	341299.7984
864	341290.1167
865	341269.3369
866	341253.6497
867	341240.9901
868	341224.3343
869	341209.6527
870	341202.428
871	341179.8995
872	341159.5349
873	341137.4106
874	341128.5871
875	341106.1896
876	341101.155
877	341090.8754
878	341084.4768
879	341062.731
880	340997.0121
881	340989.9056
882	340982.9705
883	340975.5802
884	340960.2759
885	340932.5563
886	340924.6894
887	340916.512
888	340897.3129
889	340877.073
890	340863.7159
891	340841.294
892	340819.0263
893	340807.4222
894	340750.901
895	340737.0527
896	340730.5824
897	340689.7185
898	340659.3763
899	340593.3889
900	340571.1645
901	340561.661
902	340554.057
903	340547.2271
904	340537.9335
905	340527.2218
906	340520.7605
907	340503.0657
908	340491.8659
909	340479.4092
910	340468.635
911	340443.4946
912	340426.2193
913	340415.3861
914	340399.443
915	340377.9687
916	340360.4469
917	340354.729
918	340314.3832
919	340309.5897
920	340301.1069
921	340278.7169
922	340263.4415
923	340236.3757
924	340223.7986
925	340166.8407
926	340147.223
927	340126.3672
928	340099.0738
929	340074.5574
930	340056.6736
931	340031.368
932	340003.1021
933	339989.833
934	339967.0188
935	339948.2043
936	339935.5942
937	339929.21
938	339915.6451
939	339897.063
940	339886.0689
941	339874.5576
942	339861.1877
943	339841.7896
944	339825.0001
945	339810.4057
946	339791.4686
947	339773.8218
948	339758.642
