iter	Passed	Remaining
0	207	206996
1	259	129534
2	303	10083533	358	891734	413	82270
5	462	76628
6	517	73434
7	567	70401
8	623	68687
9	675	66874
10	722	64998
11	770	63436
12	815	61888
113	848	5973114	879	57761
15	949	58379
16	1000	57830117	1044	56977118	1095	56560119	1156	56670220	1208	56325221	1253	55709222	1299	55195223	1348	54850224	1400	5460325	1460	54727
226	1490	53718227	1538	53419228	1584	53043229	1637	52958330	1689	52805331	1747	52851332	1803	52849333	1854	5268134	1902	52467
35	1954	52330
336	1996	51968337	2041	51681338	2088	5145139	2152	51664
440	2179	50982441	2239	51091442	2288	50925443	2335	50747444	2375	50421445	2421	50211446	2476	50224447	2525	50083448	2573	49951449	2623	49845550	2669	49670551	2723	49645552	2765	49421553	2812	49275554	2856	49085555	2904	48965556	2958	48943557	3005	48819558	3045	48580559	3093	48459660	3136	48280661	3187	48225662	3240	48193663	3282	48003664	3324	47824
65	3381	47849
66	3424	47688
67	3460	47424668	3502	47254669	3550	47167770	3598	47089771	3642	46950772	3689	46847773	3731	46691774	3784	46678775	3840	46690776	3888	46607777	3933	46497778	3971	46304779	4020	46234880	4076	46251881	4131	46249
82	4180	46191
83	4232	46149
84	4276	46032
85	4323	45949
86	4369	45854
87	4412	45724
88	4456	45620
89	4507	45579
90	4544	45390
91	4589	45299
92	4630	45156
93	4671	45029994	4712	44889995	4761	44833
96	4802	44712
97	4849	44630
98	4896	44567
99	4951	44567
100	4995	44467
101	5040	44373
102	5081	44252
103	5121	44125
104	5165	44027
105	5197	43836
106	5247	43792
107	5303	43799
108	5343	43680
109	5388	43599
110	5458	43716
111	5501	43620
112	5544	43523
113	5589	43440
114	5633	43350
115	5675	43249
116	5714	43130
117	5737	42884
118	5761	42653
119	5782	42408
120	5802	42152
121	5827	41937
122	5868	41845
123	5917	41805
124	5969	41786
125	6017	41738
126	6058	41643
127	6097	41539
128	6147	41509
129	6196	41466
130	6257	41509
131	6296	41404
132	6341	41341
133	6380	41233
134	6409	41071
135	6433	40873
136	6450	40633
137	6482	40494
138	6512	40338
139	6540	40174
140	6566	40001
141	6583	39780
142	6607	39599
143	6643	39491
144	6679	39388
145	6711	39259
146	6738	39104
147	6786	39065
148	6809	38893
149	6831	38709
150	6854	38542
151	6876	38365
152	6898	38192
153	6924	38040
154	6950	37889
155	6976	37742
156	7003	37604
157	7028	37453
158	7053	37308
159	7069	37116
160	7099	36996
161	7202	37258
162	7227	37111
163	7300	37215
164	7321	37051
165	7341	36885
166	7358	36705
167	7382	36558
168	7401	36392
169	7429	36271
170	7452	36126
171	7473	35977
172	7497	35841
173	7517	35685
174	7539	35545
175	7563	35409
176	7583	35260
177	7608	35137
178	7630	34998
179	7655	34873
180	7676	34737
181	7697	34597
182	7721	34470
183	7745	34351
184	7769	34226
185	7796	34121
186	7818	33993
187	7842	33872
188	7864	33744
189	7885	33616
190	7908	33496
191	7931	33379
192	7953	33255
193	7977	33144
194	7998	33017
195	8020	32899
196	8044	32791
197	8068	32682
198	8092	32571
199	8113	32453
200	8136	32343
201	8190	32358
202	8212	32241
203	8237	32141
204	8262	32043
205	8287	31943
206	8312	31844
207	8341	31763
208	8365	31662
209	8388	31557
210	8413	31462
211	8434	31351
212	8456	31244
213	8475	31130
214	8496	31023
215	8521	30928
216	8540	30817
217	8566	30731
218	8589	30632
219	8613	30540
220	8634	30435
221	8657	30339
222	8678	30237
223	8700	30139
224	8721	30040
225	8742	29942
226	8766	29853
227	8787	29754
228	8807	29654
229	8830	29562
230	8819	29359
231	8873	29374
232	8864	29181
233	8887	29093
234	8909	29002
235	8933	28921
