ID,count
1,19
2,15
3,16
4,17
5,13
6,13
7,19
8,17
9,16
10,13
11,14
12,17
13,16
14,21
15,18
16,13
17,15
18,17
19,23
20,18
21,19
22,23
23,19
24,23
25,15
26,24
27,17
28,15
29,17
30,18
31,20
32,17
33,21
34,18
35,18
36,14
37,20
38,17
39,15
40,18
41,22
42,14
43,20
44,22
45,16
46,15
47,16
48,16
49,22
50,19
51,17
52,22
53,18
54,15
55,21
56,17
57,21
58,17
59,19
60,18
61,22
62,16
63,21
64,27
65,14
66,24
67,22
68,14
69,17
70,21
71,21
72,16
73,20
74,20
75,21
76,16
77,18
78,23
79,19
80,22
81,19
82,22
83,16
84,18
85,19
86,19
87,22
88,15
89,18
90,18
91,16
92,16
93,21
94,16
95,16
96,15
97,22
98,20
99,18
100,19
101,19
102,22
103,26
104,19
105,21
106,18
107,17
108,21
109,15
110,19
111,14
112,20
113,20
114,20
115,15
116,18
117,13
118,14
119,15
120,14
121,22
122,19
123,20
124,19
125,23
126,20
127,15
128,23
129,19
130,14
131,21
132,24
133,19
134,19
135,20
136,18
137,18
138,18
139,22
140,17
141,21
142,20
143,19
144,22
145,18
146,17
147,19
148,27
149,20
150,17
151,14
152,18
153,17
154,17
155,19
156,22
157,22
158,19
159,13
160,14
161,14
162,19
163,19
164,21
165,18
166,20
167,19
168,15
169,17
170,21
171,20
172,16
173,18
174,15
175,18
176,19
177,17
178,17
179,15
180,19
181,22
182,20
183,18
184,19
185,17
186,25
187,17
188,20
189,15
190,23
191,21
192,13
193,18
194,16
195,16
196,21
197,17
198,25
199,19
200,19
201,20
202,20
203,20
204,27
205,17
206,18
207,20
208,16
209,18
210,18
211,22
212,20
213,18
214,19
215,17
216,18
217,19
218,20
219,20
220,22
221,19
222,20
223,24
224,19
225,22
226,19
227,18
228,14
229,19
230,18
231,20
232,25
233,19
234,20
235,20
236,20
237,22
238,15
239,15
240,20
241,17
242,19
243,19
244,16
245,18
246,22
247,18
248,17
249,19
250,18
251,17
252,15
253,25
254,18
255,17
256,17
257,17
258,20
259,21
260,22
261,19
262,13
263,18
264,19
265,22
266,17
267,16
268,20
269,14
270,21
271,23
272,19
273,21
274,20
275,19
276,21
277,18
278,19
279,19
280,21
281,20
282,19
283,14
284,19
285,21
286,21
287,16
288,17
289,17
290,18
291,15
292,15
293,17
294,15
295,17
296,17
297,17
298,18
299,23
300,15
301,16
302,21
303,22
304,15
305,19
306,24
307,20
308,18
309,16
310,19
311,17
312,16
313,19
314,16
315,18
316,18
317,17
318,22
319,16
320,22
321,18
322,20
323,14
324,24
325,18
326,19
327,17
328,16
329,17
330,14
331,18
332,14
333,17
334,14
335,18
336,17
337,15
338,20
339,15
340,17
341,15
342,15
343,19
344,23
345,20
346,21
347,14
348,16
349,20
350,22
351,17
352,16
353,22
354,26
355,23
356,20
357,20
358,24
359,18
360,22
361,21
362,15
363,20
364,19
365,16
366,22
367,19
368,22
369,17
370,19
371,19
372,20
373,16
374,29
375,20
376,19
377,21
378,24
379,24
380,24
381,18
382,17
383,22
384,22
385,19
386,17
387,17
388,25
389,19
390,23
391,18
392,23
393,18
394,20
395,21
396,18
397,19
398,18
399,14
400,17
401,18
402,13
403,19
404,22
405,19
406,20
407,20
408,23
409,20
410,22
411,21
412,24
413,21
414,17
415,23
416,23
417,31
418,28
419,22
420,28
421,18
422,24
423,20
424,21
425,23
426,21
427,19
428,22
429,19
430,19
431,20
432,18
433,20
434,17
435,20
436,16
437,18
438,17
439,20
440,18
441,25
442,23
443,14
444,25
445,25
446,13
447,22
448,19
449,14
450,15
451,19
452,20
453,27
454,20
455,28
456,18
457,19
458,19
459,24
460,19
461,25
462,16
463,24
464,16
465,16
466,18
467,15
468,22
469,14
470,21
471,22
472,21
473,20
474,20
475,23
476,22
477,21
478,25
479,24
480,22
481,17
482,20
483,25
484,22
485,23
486,23
487,21
488,19
489,24
490,22
491,22
492,21
493,15
494,24
495,21
496,24
497,28
498,23
499,18
500,24
501,18
502,24
503,21
504,24
505,23
506,23
507,19
508,16
509,19
510,19
511,27
512,19
513,19
514,29
515,25
516,20
517,25
518,28
519,25
520,19
521,20
522,23
523,15
524,21
525,19
526,21
527,19
528,20
529,21
530,18
531,19
532,24
533,17
534,21
535,18
536,20
537,27
538,20
539,24
540,16
541,13
542,22
543,25
544,24
545,19
546,18
547,19
548,20
549,21
550,18
551,19
552,22
553,22
554,19
555,22
556,18
557,21
558,19
559,20
560,19
561,12
562,19
563,19
564,17
565,19
566,17
567,18
568,21
569,22
570,20
571,18
572,19
573,20
574,18
575,20
576,22
577,25
578,23
579,16
580,20
581,20
582,16
583,16
584,21
585,17
586,17
587,14
588,24
589,15
590,24
591,22
592,22
593,25
594,18
595,22
596,21
597,23
598,23
599,16
600,19
601,22
602,23
603,19
604,20
605,20
606,16
607,23
608,21
609,24
610,23
611,24
612,15
613,18
614,16
615,26
616,18
617,23
618,19
619,16
620,15
621,17
622,18
623,24
624,17
625,19
626,20
627,21
628,18
629,23
630,24
631,19
632,23
633,24
634,24
635,18
636,20
637,24
638,17
639,14
640,18
641,18
642,22
643,22
644,26
645,20
646,18
647,19
648,18
649,19
650,15
651,21
652,21
653,15
654,17
655,21
656,23
657,19
658,21
659,22
660,18
661,19
662,20
663,20
664,23
665,23
666,18
667,19
668,20
669,22
670,23
671,16
672,22
673,26
674,19
675,21
676,28
677,18
678,22
679,17
680,17
681,25
682,14
683,20
684,15
685,20
686,18
687,19
688,16
689,21
690,21
691,20
692,19
693,17
694,22
695,19
696,15
697,19
698,16
699,16
700,21
701,15
702,13
703,17
704,20
705,20
706,21
707,21
708,18
709,19
710,21
711,19
712,20
713,16
714,24
715,18
716,18
717,14
718,20
719,24
720,22
721,20
722,17
723,17
724,23
725,16
726,21
727,16
728,19
729,20
730,15
731,21
732,18
733,17
734,15
735,16
736,16
737,19
738,20
739,18
740,20
741,16
742,21
743,20
744,15
745,19
746,17
747,17
748,20
749,15
750,15
751,24
752,18
753,21
754,16
755,17
756,25
757,24
758,17
759,15
760,15
761,17
762,20
763,14
764,18
765,18
766,17
767,21
768,16
769,16
770,17
771,23
772,18
773,20
774,21
775,23
776,17
777,16
778,19
779,17
780,22
781,18
782,20
783,23
784,22
785,14
786,18
787,19
788,12
789,21
790,20
791,17
792,18
793,19
794,23
795,22
796,20
797,22
798,18
799,16
800,18
801,18
802,22
803,16
804,20
805,18
806,16
807,18
808,19
809,21
810,18
811,21
812,15
813,17
814,18
815,22
816,19
817,18
818,17
819,21
820,18
821,18
822,18
823,20
824,20
825,19
826,17
827,16
828,24
829,19
830,29
831,23
832,24
833,20
834,20
835,15
836,22
837,23
838,21
839,20
840,23
841,16
842,21
843,20
844,23
845,19
846,19
847,20
848,15
849,23
850,20
851,18
852,18
853,21
854,19
855,16
856,17
857,18
858,17
859,17
860,19
861,20
862,22
863,15
864,19
865,19
866,25
867,22
868,18
869,18
870,22
871,18
872,18
873,23
874,21
875,24
876,20
877,19
878,25
879,23
880,19
881,22
882,19
883,26
884,24
885,17
886,20
887,19
888,18
889,19
890,23
891,20
892,22
893,23
894,20
895,18
896,14
897,23
898,20
899,19
900,21
901,20
902,20
903,25
904,23
905,12
906,18
907,22
908,19
909,21
910,21
911,18
912,24
913,14
914,18
915,20
916,19
917,18
918,16
919,19
920,17
921,17
922,21
923,27
924,19
925,20
926,21
927,16
928,16
929,22
930,19
931,17
932,21
933,20
934,17
935,19
936,21
937,25
938,21
939,21
940,20
941,19
942,20
943,23
944,17
945,17
946,18
947,17
948,18
949,19
950,15
951,29
952,21
953,15
954,18
955,20
956,17
957,15
958,26
959,18
960,22
961,19
962,21
963,23
964,20
965,19
966,19
967,17
968,17
969,19
970,21
971,16
972,19
973,20
974,19
975,23
976,19
977,25
978,18
979,19
980,22
981,18
982,22
983,18
984,16
985,21
986,19
987,23
988,17
989,15
990,16
991,16
992,18
993,17
994,20
995,21
996,18
997,25
998,20
999,27
1000,21
1001,20
1002,17
1003,18
1004,21
1005,16
1006,16
1007,14
1008,18
1009,20
1010,19
1011,18
1012,23
1013,19
1014,19
1015,14
1016,16
1017,19
1018,20
1019,16
1020,20
1021,17
1022,22
1023,16
1024,17
1025,19
1026,17
1027,17
1028,19
1029,22
1030,19
1031,20
1032,19
1033,16
1034,20
1035,25
1036,24
1037,19
1038,16
1039,14
1040,15
1041,22
1042,15
1043,22
1044,17
1045,21
1046,20
1047,15
1048,21
1049,17
1050,20
1051,20
1052,29
1053,13
1054,20
1055,26
1056,19
1057,19
1058,17
1059,15
1060,21
1061,18
1062,15
1063,17
1064,28
